,precision,recall,f1-score,support
Anger,0.3076923076923077,0.21052631578947367,0.25,19.0
Betrayal,0.6666666666666666,1.0,0.8,2.0
Calmness,0.0,0.0,0.0,2.0
Care,0.0,0.0,0.0,2.0
Caution,0.2903225806451613,0.32142857142857145,0.3050847457627119,28.0
Clarity,0.0,0.0,0.0,2.0
Commitment,1.0,1.0,1.0,2.0
Compassion,0.0,0.0,0.0,4.0
Complaint,0.5,0.75,0.6,4.0
Confidence,0.08333333333333333,0.125,0.1,8.0
Contentment,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
Courage,0.2857142857142857,0.3333333333333333,0.3076923076923077,6.0
Despair,0.0,0.0,0.0,11.0
Devotion,0.2857142857142857,0.18181818181818182,0.2222222222222222,11.0
Duty,0.3333333333333333,0.5,0.4,4.0
Fear,0.16666666666666666,0.08333333333333333,0.1111111111111111,24.0
Generosity,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
Gratitude,0.16666666666666666,0.25,0.2,8.0
Happiness,0.5,0.4,0.4444444444444444,40.0
Honesty,0.0,0.0,0.0,4.0
Hospitality,0.0,0.0,0.0,2.0
Humility,0.25,0.25,0.25,4.0
Integrity,0.2,0.25,0.2222222222222222,4.0
Joy,0.5333333333333333,0.7272727272727273,0.6153846153846154,11.0
Kindness,0.4,0.3333333333333333,0.36363636363636365,6.0
Longing,0.6446280991735537,0.5416666666666666,0.5886792452830188,144.0
Love,0.475,0.31666666666666665,0.38,60.0
Loyalty,1.0,0.5,0.6666666666666666,2.0
Melancholy,0.5954198473282443,0.7027027027027027,0.6446280991735537,111.0
Mixed,0.0,0.0,0.0,15.0
Modesty,0.0,0.0,0.0,4.0
Nature,0.18518518518518517,0.23809523809523808,0.20833333333333334,21.0
Patience,0.0,0.0,0.0,2.0
Patriotism,0.2,0.21739130434782608,0.20833333333333334,23.0
Philosophy,0.21875,0.21875,0.21875,32.0
Pride,0.4,0.2857142857142857,0.3333333333333333,14.0
Respect,0.13333333333333333,0.14285714285714285,0.13793103448275862,14.0
Responsibility,0.14814814814814814,0.2857142857142857,0.1951219512195122,14.0
Reverence,0.0,0.0,0.0,2.0
Sadness,0.4198473282442748,0.5045871559633027,0.4583333333333333,109.0
Security,0.0,0.0,0.0,2.0
Self-Control,0.0,0.0,0.0,4.0
Shame,0.2777777777777778,0.3125,0.29411764705882354,16.0
Skill,0.0,0.0,0.0,2.0
Sorrow,0.3333333333333333,0.5,0.4,2.0
Wisdom,0.14285714285714285,0.16666666666666666,0.15384615384615385,12.0
accuracy,0.4,0.4,0.4,0.4
macro avg,0.2583004107226581,0.2713628531529798,0.25786790099111095,825.0
weighted avg,0.4036735373228427,0.4,0.39614905391101846,825.0
